switch_step,handoff_end,relaunch_min_ships,relaunch_threat_frac,relaunch_prod_mult,relaunch_prod_add,crush_prod_ratio,aggressive_prod_ratio,aggressive_ship_ratio,defend_prod_frac,matches,main_avg,main_wins,main_losses,main_median,agent_02_avg,agent_02_wins,agent_03_avg,agent_03_wins,agent_04_avg,agent_04_wins,all_done,index
65,95,70,0.2,1.2,4,3.5,1.8,2.2,0.65,3,1.0,3,0,1,-1.0,0,-1.0,0,-1.0,0,True,27
55,85,65,0.15,1.05,3,4.5,2.2,2.8,0.75,3,0.3333333333333333,2,1,1,-1.0,0,-0.3333333333333333,1,-1.0,0,True,2
60,105,85,0.15,1.1,3,4.0,2.0,2.5,0.7,3,0.3333333333333333,2,1,1,-1.0,0,-0.3333333333333333,1,-1.0,0,True,19
65,85,65,0.15,1.05,3,3.5,1.8,2.2,0.65,3,0.3333333333333333,2,1,1,-0.3333333333333333,1,-1.0,0,-1.0,0,True,24
65,105,85,0.15,1.1,3,4.5,2.2,2.8,0.75,3,0.3333333333333333,2,1,1,-0.3333333333333333,1,-1.0,0,-1.0,0,True,32
70,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,3,0.3333333333333333,2,1,1,-0.3333333333333333,1,-1.0,0,-1.0,0,True,40
55,85,65,0.15,1.05,3,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,0
55,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,3,-0.3333333333333333,1,2,-1,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0,True,4
55,105,85,0.15,1.1,3,4.5,2.2,2.8,0.75,3,-0.3333333333333333,1,2,-1,-1.0,0,0.3333333333333333,2,-1.0,0,True,8
55,95,90,0.25,1.0,2,4.0,2.0,2.5,0.7,3,-0.3333333333333333,1,2,-1,-1.0,0,0.3333333333333333,2,-1.0,0,True,10
60,85,65,0.15,1.05,3,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,-1.0,0,0.3333333333333333,2,-1.0,0,True,12
60,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,16
60,105,85,0.15,1.1,3,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,18
60,95,90,0.25,1.0,2,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,-1.0,0,0.3333333333333333,2,-1.0,0,True,21
60,95,90,0.25,1.0,2,4.0,2.0,2.5,0.7,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,22
65,85,65,0.15,1.05,3,4.0,2.0,2.5,0.7,3,-0.3333333333333333,1,2,-1,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0,True,25
65,85,65,0.15,1.05,3,4.5,2.2,2.8,0.75,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,26
65,105,85,0.15,1.1,3,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0,True,30
65,95,90,0.25,1.0,2,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,-1.0,0,0.3333333333333333,2,-1.0,0,True,33
65,95,90,0.25,1.0,2,4.0,2.0,2.5,0.7,3,-0.3333333333333333,1,2,-1,-1.0,0,0.3333333333333333,2,-1.0,0,True,34
70,85,65,0.15,1.05,3,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,-1.0,0,0.3333333333333333,2,-1.0,0,True,36
70,85,65,0.15,1.05,3,4.5,2.2,2.8,0.75,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,38
70,105,85,0.15,1.1,3,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0,True,42
70,105,85,0.15,1.1,3,4.0,2.0,2.5,0.7,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,43
70,95,90,0.25,1.0,2,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,45
70,95,90,0.25,1.0,2,4.0,2.0,2.5,0.7,3,-0.3333333333333333,1,2,-1,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0,True,46
