switch_step,handoff_end,relaunch_min_ships,relaunch_threat_frac,relaunch_prod_mult,relaunch_prod_add,crush_prod_ratio,aggressive_prod_ratio,aggressive_ship_ratio,defend_prod_frac,matches,main_avg,main_wins,main_losses,main_median,agent_02_avg,agent_02_wins,agent_03_avg,agent_03_wins,agent_04_avg,agent_04_wins,all_done,index
55,95,70,0.2,1.2,4,3.2,1.6,2.0,0.6,10,-0.8,1,9,-1.0,-0.6,2,0.4,7,-1.0,0,True,15
55,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,10,-0.8,1,9,-1.0,-0.2,4,0.0,5,-1.0,0,True,20
65,80,55,0.1,0.95,2,3.2,1.6,2.0,0.6,10,-0.8,1,9,-1.0,0.8,9,-1.0,0,-1.0,0,True,24
65,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,10,-0.8,1,9,-1.0,0.0,5,-0.2,4,-1.0,0,True,25
65,95,70,0.2,1.2,4,5.0,2.5,3.2,0.82,10,-0.8,1,9,-1.0,-0.2,4,0.0,5,-1.0,0,True,29
75,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,10,-0.8,1,9,-1.0,-0.8,1,0.6,8,-1.0,0,True,40
85,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,10,-0.8,1,9,-1.0,-0.4,3,0.2,6,-1.0,0,True,49
85,110,90,0.18,1.05,3,4.0,2.0,2.5,0.7,10,-0.8,1,9,-1.0,-0.4,3,0.2,6,-1.0,0,True,55
85,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,10,-0.8,1,9,-1.0,0.4,7,-0.6,2,-1.0,0,True,59
45,95,70,0.2,1.2,4,5.0,2.5,3.2,0.82,10,-1.0,0,10,-1.0,-0.2,4,0.2,6,-1.0,0,True,5
55,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,10,-1.0,0,10,-1.0,-0.2,4,0.2,6,-1.0,0,True,14
