index,search_pick,defense_oversend_4p,leader_ratio,leader_bonus,leader_min_step,focus_enabled,focus_turn,focus_gap,weakest_enabled,hammer_turn,frontier_enabled,frontier_turn_min,frontier_turn_max,frontier_dist,frontier_base,frontier_prod_mult,frontier_frac,pressure_enabled,pressure_turn,pressure_max_moves,pressure_min_avail,pressure_leader_bonus,pressure_enemy_bonus,pressure_neutral_penalty,acc_lead,acc_feed_min,acc_keep,acc_max_feeds,brain_enabled,brain_min,brain_require_target,brain_frontier,brain_frontier_weight,mega_min,mega_thresholds,mega_target_cap,matches,main_avg,main_wins,main_losses,main_median,all_done,hellburner_ref_avg,hellburner_ref_wins,main_plus_main5_ideas_avg,main_plus_main5_ideas_wins,agent_04_avg,agent_04_wins
33,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,True,70,1,45,50.0,-4.0,35.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,0.3333333333333333,2,1,1,True,-1.0,0,-0.3333333333333333,1,-1.0,0
37,5,0,1.15,8.0,50,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,0.3333333333333333,2,1,1,True,-1.0,0,-0.3333333333333333,1,-1.0,0
0,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,0.3333333333333333,2,-1.0,0
1,5,0,1.1,10.0,40,True,60,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0
10,5,0,1.05,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,0.3333333333333333,2,-1.0,0
11,5,0,1.15,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,-0.3333333333333333,1,-0.3333333333333333,1
13,6,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,0.3333333333333333,2,-1.0,0
15,5,0,1.1,10.0,40,True,65,12,True,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,0.3333333333333333,2,-1.0,0
17,5,0,1.1,10.0,40,True,65,12,False,55,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0
18,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,70,22,24,3,True,130,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0
19,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,85,26,28,3,True,160,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,0.3333333333333333,2,-1.0,0,-1.0,0
25,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,True,1.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0
26,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,True,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,0.3333333333333333,2,-1.0,0
29,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,220,"{5: 120, 4: 150, 3: 190, 2: 240, 1: 320}",120,3,-0.3333333333333333,1,2,-1,True,-1.0,0,-0.3333333333333333,1,-0.3333333333333333,1
30,5,0,1.1,10.0,40,True,65,12,False,0,True,60,150,20.0,4,2,0.1,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-1.0,0,-0.3333333333333333,1
32,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,True,60,4,35,45.0,0.0,30.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0
38,5,0,1.05,12.0,35,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-1.0,0,-0.3333333333333333,1
39,4,0,1.1,8.0,40,True,60,10,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0
44,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,85,26,28,3,True,160,False,False,2.0,260,"{5: 160, 4: 200, 3: 240, 2: 300, 1: 380}",110,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0
45,5,0,1.1,10.0,40,True,65,12,False,0,True,70,150,18.0,5,3,0.12,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0
47,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,True,60,2,40,40.0,0.0,30.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0
48,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,True,65,1,35,38.0,4.0,20.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,-1.0,0,0.3333333333333333,2
49,5,0,1.2,10.0,45,False,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,0.3333333333333333,2,-1.0,0
52,5,0,1.1,8.0,40,True,70,14,True,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,0.3333333333333333,2,-1.0,0
53,5,0,1.2,6.0,55,True,65,12,True,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,0.3333333333333333,2,-1.0,0
59,6,0,1.1,10.0,40,True,70,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,70,22,24,3,True,130,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-0.3333333333333333,1,2,-1,True,-1.0,0,0.3333333333333333,2,-1.0,0
2,5,0,1.1,10.0,40,True,70,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,1.0,3,-1.0,0
4,5,0,1.1,10.0,40,True,65,10,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0
7,5,0,1.1,12.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,1.0,3,-1.0,0
8,5,0,1.1,10.0,35,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,0.3333333333333333,2,-0.3333333333333333,1
9,5,0,1.1,10.0,50,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0
14,5,1,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0
16,5,0,1.1,10.0,40,True,65,12,False,35,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,1.0,3,-1.0,0
20,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,120,34,34,3,True,220,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,0.3333333333333333,2,-0.3333333333333333,1
21,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,2,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0
23,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,False,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0
24,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,True,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,0.3333333333333333,2,-0.3333333333333333,1
31,5,0,1.1,10.0,40,True,65,12,False,0,True,70,160,22.0,6,2,0.14,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,0.3333333333333333,2,-0.3333333333333333,1
34,5,0,1.1,8.0,40,True,60,10,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0
35,5,0,1.1,8.0,40,True,70,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,1.0,3,-1.0,0
40,6,0,1.1,10.0,40,True,70,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0
41,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,70,22,24,3,True,130,True,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,1.0,3,-1.0,0
43,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,70,22,24,3,True,130,False,False,2.0,260,"{5: 150, 4: 190, 3: 240, 2: 300, 1: 380}",110,3,-1.0,0,3,-1,True,-1.0,0,1.0,3,-1.0,0
46,5,0,1.1,10.0,40,True,65,12,False,0,True,60,150,20.0,4,2,0.1,False,35,1,28,28.0,8.0,8.0,85,30,30,3,True,160,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0
50,5,0,1.1,12.0,45,False,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-0.3333333333333333,1
51,5,0,1.1,10.0,40,False,65,12,False,0,False,70,170,26.0,10,3,0.25,True,60,4,35,45.0,0.0,30.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,1.0,3,-1.0,0
54,5,1,1.1,10.0,40,True,65,12,False,0,True,70,170,26.0,4,2,0.1,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,1.0,3,-1.0,0
55,5,1,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,85,26,28,3,True,160,False,False,2.0,300,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",100,3,-1.0,0,3,-1,True,-1.0,0,1.0,3,-1.0,0
56,5,0,1.1,12.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,260,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",120,3,-1.0,0,3,-1,True,-0.3333333333333333,1,-0.3333333333333333,1,-0.3333333333333333,1
57,5,0,1.1,10.0,40,True,65,12,False,0,False,70,170,26.0,10,3,0.25,False,35,1,28,28.0,8.0,8.0,100,30,30,3,True,200,False,False,2.0,220,"{5: 200, 4: 250, 3: 300, 2: 350, 1: 400}",120,3,-1.0,0,3,-1,True,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0
