switch_step,handoff_end,relaunch_min_ships,relaunch_threat_frac,relaunch_prod_mult,relaunch_prod_add,crush_prod_ratio,aggressive_prod_ratio,aggressive_ship_ratio,defend_prod_frac,matches,main_avg,main_wins,main_losses,main_median,agent_02_avg,agent_02_wins,agent_03_avg,agent_03_wins,agent_04_avg,agent_04_wins,all_done,index
55,105,85,0.15,1.1,3,4.5,2.2,2.8,0.75,3,0.3333333333333333,2,1,1,-0.3333333333333333,1,-1.0,0,-1.0,0,True,8
55,85,65,0.15,1.05,3,4.0,2.0,2.5,0.7,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,1
55,95,70,0.2,1.2,4,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0,True,3
55,95,70,0.2,1.2,4,4.5,2.2,2.8,0.75,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,5
55,95,90,0.25,1.0,2,3.5,1.8,2.2,0.65,3,-0.3333333333333333,1,2,-1,0.3333333333333333,2,-1.0,0,-1.0,0,True,9
55,95,90,0.25,1.0,2,4.5,2.2,2.8,0.75,3,-0.3333333333333333,1,2,-1,-0.3333333333333333,1,-0.3333333333333333,1,-1.0,0,True,11
55,85,65,0.15,1.05,3,3.5,1.8,2.2,0.65,3,-1.0,0,3,-1,1.0,3,-1.0,0,-1.0,0,True,0
55,85,65,0.15,1.05,3,4.5,2.2,2.8,0.75,3,-1.0,0,3,-1,0.3333333333333333,2,-0.3333333333333333,1,-1.0,0,True,2
55,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,3,-1.0,0,3,-1,0.3333333333333333,2,-0.3333333333333333,1,-1.0,0,True,4
55,105,85,0.15,1.1,3,3.5,1.8,2.2,0.65,3,-1.0,0,3,-1,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0,True,6
55,105,85,0.15,1.1,3,4.0,2.0,2.5,0.7,3,-1.0,0,3,-1,-0.3333333333333333,1,0.3333333333333333,2,-1.0,0,True,7
55,95,90,0.25,1.0,2,4.0,2.0,2.5,0.7,3,-1.0,0,3,-1,-1.0,0,1.0,3,-1.0,0,True,10
