switch_step,handoff_end,relaunch_min_ships,relaunch_threat_frac,relaunch_prod_mult,relaunch_prod_add,crush_prod_ratio,aggressive_prod_ratio,aggressive_ship_ratio,defend_prod_frac,matches,main_avg,main_wins,main_losses,main_median,agent_02_avg,agent_02_wins,agent_03_avg,agent_03_wins,agent_04_avg,agent_04_wins,all_done,index
75,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,10,-0.8,1,9,-1.0,-0.6,2,-0.8,1,0.2,6,True,37
75,110,90,0.18,1.05,3,4.0,2.0,2.5,0.7,10,-0.8,1,9,-1.0,0.2,6,-1.0,0,-0.4,3,True,43
75,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,10,-0.8,1,9,-1.0,-0.8,1,-0.8,1,0.4,7,True,44
75,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,10,-0.8,1,9,-1.0,-0.4,3,-0.8,1,0.0,5,True,47
85,80,55,0.1,0.95,2,4.0,2.0,2.5,0.7,10,-0.8,1,9,-1.0,0.2,6,-0.8,1,-0.6,2,True,49
85,80,55,0.1,0.95,2,5.0,2.5,3.2,0.82,10,-0.8,1,9,-1.0,-0.6,2,-0.6,2,0.0,5,True,50
85,95,70,0.2,1.2,4,5.0,2.5,3.2,0.82,10,-0.8,1,9,-1.0,-0.2,4,-0.8,1,0.0,5,True,53
85,110,90,0.18,1.05,3,3.2,1.6,2.0,0.6,10,-0.8,1,9,-1.0,0.0,5,-0.8,1,-0.4,3,True,54
45,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,10,-1.0,0,10,-1.0,0.2,6,-1.0,0,-0.2,4,True,10
55,110,90,0.18,1.05,3,5.0,2.5,3.2,0.82,10,-1.0,0,10,-1.0,-0.4,3,-0.6,2,0.0,5,True,20
75,95,70,0.2,1.2,4,4.0,2.0,2.5,0.7,10,-1.0,0,10,-1.0,-0.2,4,-0.8,1,0.0,5,True,40
85,125,110,0.3,1.4,6,4.0,2.0,2.5,0.7,10,-1.0,0,10,-1.0,-0.6,2,-0.8,1,0.4,7,True,58
85,125,110,0.3,1.4,6,5.0,2.5,3.2,0.82,10,-1.0,0,10,-1.0,-0.4,3,-0.8,1,0.2,6,True,59
